UNITID,INSTNM,ADDR,CITY,STABBR,ZIP,FIPS,OBEREG,CHFNM,CHFTITLE,GENTELE,EIN,OPEID,OPEFLAG,WEBADDR,ADMINURL,FAIDURL,APPLURL,SECTOR,ICLEVEL,CONTROL,HLOFFER,UGOFFER,GROFFER,FPOFFER,HDEGOFFR,DEGGRANT,HBCU,HOSPITAL,MEDICAL,TRIBAL,LOCALE,OPENPUBL,ACT,NEWID,DEATHYR,CLOSEDAT,CYACTIVE,POSTSEC,PSEFLAG,PSET4FLG,RPTMTH,IALIAS,INSTCAT,CCBASIC,CCIPUG,CCIPGRAD,CCUGPROF,CCENRPRF,CCSIZSET,CARNEGIE,TENURSYS,LANDGRNT,INSTSIZE,CBSA,CBSATYPE,CSA,NECTA,DFRCGID 
100830,Auburn University-Montgomery,7440 East Drive,Montgomery,AL,36117-3596,1,5,John G. Veres III,Chancellor,3342443000,636000724,831000,1,www.aum.edu, , , ,1,1,1,8,1,1,2,20,1,2,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1,AUM|Auburn University Montgomery|Auburn University at Montgomery|Auburn Montgomery,2,18,13,6,6,4,12,21,1,2,3,33860,1,388,-2,147
100858,Auburn University Main Campus, ,Auburn University,AL,36849,1,5,Jay Gogue,President,3348444000,636000724,100900,1,www.auburn.edu,www.auburn.edu/admissions/,www.auburn.edu/finaid/,www.auburn.edu/admissions/apply/,1,1,1,9,1,1,1,11,1,2,2,1,2,13,1,A ,-2,-2,-2,1,1,1,1,1, ,2,16,14,14,13,4,15,15,1,1,5,12220,1,194,-2,137
100937,Birmingham Southern College,900 Arkadelphia Road,Birmingham,AL,35254,1,5,David Pollick,President,2052264600,630708730,101200,1,www.bsc.edu,www.bsc.edu/futurestudents/index.htm,www.bsc.edu/fa/index.htm,www.bsc.edu/futurestudents/excel.htm,2,1,2,7,1,1,2,20,1,2,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1, ,2,21,7,7,12,3,11,31,1,2,2,13820,1,142,-2,170
101028,Chattahoochee Valley Community College,2602 College Drive,Phenix City,AL,36869,1,5,Dr. Laurel Blackwell,President,3342914900,630657380,1218200,1,www.cv.edu,www.cv.edu/index.php?option=com_wrapper&Itemid=175,"www.cv.edu/component/option,com_wrapper/Itemid,177/",www.cv.edu/documents/admissions/admission_app.pdf,4,2,1,3,1,2,2,40,1,2,2,2,2,22,1,A ,-2,-2,-2,1,1,1,1,1,CVCC,4,2,1,-1,2,1,2,40,1,2,2,17980,1,194,-2,83
101073,Concordia College-Selma,1804 Green St,Selma,AL,36701,1,5,Dr. Portia Shields,CEO,3.34875E+12,630389941,1055400,1,www.concordiaselma.edu,www.concordiaselma.edu, , ,2,1,2,5,1,2,2,30,1,1,2,2,2,33,1,A ,-2,-2,-2,1,1,1,1,1, ,2,23,2,-1,10,2,7,33,2,2,1,42820,2,-2,-2,185
101116,South University-Montgomery,5355 Vaughn Road,Montgomery,AL,36116-1120,1,5,Victor K Biebighauser,President,3343958800,630314610,1303906,1,southuniversity.edu, , , ,3,1,3,7,1,1,2,20,1,2,-2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1, ,3,23,2,-1,8,2,6,40,2,2,1,33860,1,388,-2,187
101143,Enterprise-Ozark Community College,600 Plaza Drive,Enterprise,AL,36330-1300,1,5,Stafford L. Thompson,President,3343472623,630504851,101500,1,www.eocc.edu,www.eocc.edu/adminoffices/admissions.htm,www.eocc.edu/adminoffices/finaid.htm, ,4,2,1,3,1,2,2,40,1,2,2,2,2,41,1,A ,-2,-2,-2,1,1,1,1,1, ,4,2,1,-1,3,1,2,40,1,2,2,21460,2,222,-2,83
101161,James H Faulkner State Community College,1900 US Hwy 31 S,Bay Minette,AL,36507-2698,1,5,Gary Branch,President,2515802100,630501805,106000,1,www.faulknerstate.edu, , , ,4,2,1,3,1,2,2,40,1,2,2,2,2,32,1,A ,-2,-2,-2,1,1,1,1,1, ,4,5,1,-1,3,1,3,40,1,2,2,19300,2,380,-2,98
101189,Faulkner University,5345 Atlanta Hwy,Montgomery,AL,36109-3378,1,5,Billy D Hilyer,President,3342725820,630329409,100300,1,www.faulkner.edu, , , ,2,1,2,7,1,1,1,21,1,2,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1, ,2,22,16,10,8,4,9,32,1,2,2,33860,1,388,-2,176
101231,Gadsden Business College,3225 Rainbow Drive Suite 246,Rainbow City,AL,35906,1,5,Randy Kerr,President,2564422805,631150847,446200,7, , , , ,9,3,3,1,1,2,2,0,2,2,-2,2,2,23,1,A ,-2,-2,-2,1,1,1,1,2, ,6,-3,-3,-3,-3,-3,-3,-3,2,2,1,23460,1,-2,-2,65
101240,Gadsden State Community College,1001 George Wallace Dr,Gadsden,AL,35902-0227,1,5,Valerie A. Richardson,Acting President,2565498200,630501425,101700,1,www.gadsdenstate.edu,www.gadsdenstate.edu/admis.html,www.gadsdenstate.edu/finaid/finaid.html,osis.gadsdenstate.edu/Scripts/WebEncore.dll?Application\Index.html,4,2,1,3,1,2,2,40,1,1,2,2,2,13,1,A ,-2,-2,-2,1,1,1,1,1,GSCC | Gadsden State | Gadsden Community College,4,3,1,-1,2,1,3,40,1,2,3,23460,1,-2,-2,89
101286,George C Wallace Community College-Dothan,1141 Wallace Drive,Dothan,AL,36303-9234,1,5,Linda C Young,President,3349833521,630507618,101800,1,www.wallace.edu, , , ,4,2,1,3,1,2,2,40,1,2,2,2,2,13,1,A ,-2,-2,-2,1,1,1,1,1,WALLACE DOTHAN |or |WCC,4,3,1,-1,2,1,3,40,1,2,2,21460,2,222,-2,91
101295,George C Wallace State Community College-Hanceville,801 Main St NW,Hanceville,AL,35077-2000,1,5,Vicki Hawsey,President,2563528000,630498828,787100,1,www.wallacestate.edu,www.wallacestate.edu/admissions.html,www.wallacestate.edu/financial-aid.html,www.wallacestate.edu/admission-application.html,4,2,1,3,1,2,2,40,1,2,2,2,2,41,1,A ,-2,-2,-2,1,1,1,1,1,Wallace State Community College |Wallace State - Hanceville,4,3,1,-1,3,1,3,40,1,2,3,18980,2,142,-2,89
101301,George C Wallace State Community College-Selma,3000 Earl Goodwin Parkway,Selma,AL,36703-2808,1,5,Dr. James M. Mitchell,President,3348769227,630600375,569900,1,www.wccs.edu, , , ,4,2,1,3,1,2,2,40,1,2,2,2,2,41,1,A ,-2,-2,-2,1,1,1,1,1, ,4,3,1,-1,2,1,2,40,1,2,2,42820,2,-2,-2,91
101365,Herzing College,280 West Valley Ave,Birmingham,AL,35209,1,5,Donald E Lewis,President,2059162800,391040865,1019300,1,www.herzing.edu/birmingham, , , ,3,1,3,5,1,2,2,30,1,2,-2,2,2,21,1,A ,-2,-2,-2,1,1,1,1,1, ,2,28,-2,-2,-2,2,-2,40,2,2,1,13820,1,142,-2,205
101435,Huntingdon College,1500 East Fairview Avenue,Montgomery,AL,36106-2148,1,5,J. Cameron West,President,3348334222,630288841,101900,1,www.huntingdon.edu,www.huntingdon.edu/admissions,www.huntingdon.edu/financial_aid,www.huntingdon.edu/admissions/forms/apply,2,1,2,5,1,2,2,30,1,2,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1, ,2,21,6,-1,10,2,8,31,1,2,1,33860,1,388,-2,172
101453,Heritage Christian University,3625 Helton Dr,Florence,AL,35630-9977,1,5,Dennis Jones,President,2567666610,237013287,2199700,1,www.hcu.edu,www.hcu.edu/index_admissions.asp,www.hcu.edu/index_admissions.asp,www.hcu.edu/index_admissions.asp,2,1,2,7,1,1,2,20,1,2,2,2,2,41,1,A ,-2,-2,-2,1,1,1,1,1, ,2,24,-2,-2,-2,3,-2,51,2,2,1,22520,1,-2,-2,191
101462,J F Drake State Technical College,3421 Meridian St N,Huntsville,AL,35811,1,5,Helen T. McAlpine,President,2565398161,631002142,526000,1,www.drakestate.edu,www.drakestate.edu,www.drakestate.edu,www.drakestate.edu,4,2,1,3,1,2,2,40,1,1,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1, ,4,1,1,-1,3,1,2,40,1,2,1,26620,1,290,-2,74
101471,J F Ingram State Technical College,5375 Ingram Rd,Deatsville,AL,36022,1,5,J. Douglas Chambers,President,3342855177,630506768,3002500,5,www.ingram.cc.al.us, , , ,4,2,1,3,1,2,2,40,1,2,2,2,2,42,0,A ,-2,-2,-2,1,1,2,6,1, ,4,1,1,-1,3,1,2,40,1,2,1,33860,1,388,-2,-2
101480,Jacksonville State University,700 Pelham Road North,Jacksonville,AL,36265,1,5,William Meehan,President,2567825781,636001099,102000,1,www.jsu.edu/, , , ,1,1,1,8,1,1,2,20,1,2,2,2,2,23,1,A ,-2,-2,-2,1,1,1,1,1, ,2,18,13,4,9,4,12,21,1,2,3,11500,1,-2,-2,146
101499,Jefferson Davis Community College,220 Alco Dr,Brewton,AL,36426,1,5,Dr. Susan McBride,President,2518674832,630502384,102100,1,www.jdcc.edu,www.jdcc.edu/admissions/,www.jdcc.edu/finaid/,www.jdcc.edu/applyonline/,4,2,1,3,1,2,2,40,1,2,2,2,2,32,1,A ,-2,-2,-2,1,1,1,1,1,JDCC,4,1,1,-1,3,1,2,40,1,2,2,-2,-2,-2,-2,73
101505,Jefferson State Community College,2601 Carson Rd,Birmingham,AL,35215-3098,1,5,Judy Merritt,President,2058531200,630501357,102200,1,www.jeffstateonline.com, , , ,4,2,1,3,1,2,2,40,1,2,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1,Jeff State | JSCC | Jefferson State,4,7,1,-1,2,1,3,40,1,2,3,13820,1,142,-2,102
101514,John C Calhoun State Community College,6250 U S Highway 31 N,Tanner,AL,35671,1,5,Dr. Marilyn C. Beck,President,2563062500,630505871,101300,1,www.calhoun.edu, , , ,4,2,1,3,1,2,2,40,1,2,2,2,2,41,1,A ,-2,-2,-2,1,1,1,1,1,Calhoun Community College,4,3,1,-1,2,1,4,40,1,2,3,26620,1,290,-2,88
101541,Judson College,302 Bibb St,Marion,AL,36756,1,5,David E Potts,President,3346835100,630288850,102300,1,www.judson.edu,www.judson.edu,www.judson.edu,www.judson.edu,2,1,2,5,1,2,2,30,1,2,2,2,2,43,1,A ,-2,-2,-2,1,1,1,1,1, ,2,21,6,-1,11,2,8,31,1,2,1,-2,-2,-2,-2,173
101569,Lawson State Community College-Birmingham Campus,3060 Wilson Rd SW,Birmingham,AL,35221-1717,1,5,Perry W Ward,President,2059252515,630641064,105900,1,www.lawsonstate.edu, , , ,4,2,1,3,1,2,2,40,1,1,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1, ,4,7,1,-1,3,1,2,40,1,2,2,13820,1,142,-2,104
101587,University of West Alabama,Station One,Livingston,AL,35470,1,5,Dr. Richard Holland,President,2056523400,636001100,102400,1,www.uwa.edu,admissions.uwa.edu/,admissions.uwa.edu/FinancialAid.asp, ,1,1,1,7,1,1,2,20,1,2,2,2,2,43,1,A ,-2,-2,-2,1,1,1,1,1, ,2,19,13,1,9,5,10,21,1,2,2,-2,-2,-2,-2,155
101602,Lurleen B Wallace Community College,1000 Dannelly Blvd.,Andalusia,AL,36420-1418,1,5,Dr. Edward Meadows,President,3342226591,630576487,898800,1,www.lbwcc.edu, , , ,4,2,1,3,1,2,2,40,1,2,2,2,2,33,1,A ,-2,-2,-2,1,1,1,1,1, ,4,1,1,-1,3,1,2,40,1,2,2,-2,-2,-2,-2,72
101648,Marion Military Institute,1101 Washington St,Marion,AL,36756,1,5,Col James H. Benson,President,3346832310,630288853,102600,1,www.marionmilitary.edu, , , ,4,2,1,3,1,2,2,40,1,2,2,2,2,43,1,A ,-2,-2,-2,1,1,1,1,1, ,4,9,1,-1,4,1,1,40,1,2,1,-2,-2,-2,-2,107
101675,Miles College,5500 Myron Massey Blvd,Fairfield,AL,35064,1,5,"George T. French, Jr.",President,2059291000,630400608,102800,1,www.miles.edu,miles.edu,miles.edu,miles.edu,2,1,2,5,1,2,2,30,1,1,2,2,2,21,1,A ,-2,-2,-2,1,1,1,1,1, ,2,22,15,-1,12,2,10,32,1,2,2,13820,1,142,-2,177
101693,University of Mobile,5735 College Parkway Drive,Mobile,AL,36663-0220,1,5,Mark Foley,President,2516755990,630417508,102900,1,www.umobile.edu, , , ,2,1,2,7,1,1,2,20,1,2,2,2,2,21,1,A ,-2,-2,-2,1,1,1,1,1, ,2,20,13,8,10,3,9,21,1,2,2,33660,1,380,-2,162
101709,University of Montevallo,Station 6001,Montevallo,AL,35115,1,5,Phillip Williams,President,2056656155,636000720,100400,1,www.montevallo.edu, , , ,1,1,1,8,1,1,2,20,1,2,2,2,2,31,1,A ,-2,-2,-2,1,1,1,1,1, ,2,19,10,6,11,4,10,21,1,2,2,13820,1,142,-2,155
101736,Northwest Shoals Community College-Muscle Shoals,800 George Wallace Blvd,Muscle Shoals,AL,35661,1,5,Humphrey Lee,President,2563315200,630513822,569700,1,www.nwscc.edu,www.nwscc.edu/admiss.html,www.nwscc.edu/dinanc.html,www.nwscc.edu/student.pdf,4,2,1,3,1,2,2,40,1,2,2,2,2,13,1,A ,-2,-2,-2,1,1,1,1,1, ,4,2,1,-1,2,1,3,40,1,2,2,22520,1,-2,-2,81
101879,University of North Alabama,One Harrison Plaza,Florence,AL,35632-0001,1,5,"Wm. G. Cale, Jr.",President,2567654100,636000893,101600,1,www.una.edu,www.una.edu/admission,www.una.edu/sfins,www.una.edu/admission/new/howtoapply.htm,1,1,1,8,1,1,2,20,1,2,2,2,2,13,1,A ,-2,-2,-2,1,1,1,1,1, ,2,18,13,6,11,3,12,21,1,2,3,22520,1,-2,-2,146
101897,Northeast Alabama Community College,Hwy 35,Rainsville,AL,35986,1,5,J. David Campbell,President,2.05638E+12,630504999,103100,1,www.nacc.edu, , , ,4,2,1,3,1,2,2,40,1,2,2,2,2,42,1,A ,-2,-2,-2,1,1,1,1,1,"Northeast, NACC, Northeast Alabama State Junior College, Northeast Alabama State Community College",4,2,1,-1,1,1,2,40,1,2,2,22840,2,-2,-2,82
101912,Oakwood College,7000 Adventist Blvd NW,Huntsville,AL,35896,1,5,Delbert W Baker,President,2567267000,-1,103300,1,www.oakwood.edu, , , ,2,1,2,5,1,2,2,30,1,1,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1, ,2,22,12,-1,9,2,11,32,1,2,2,26620,1,290,-2,177
101949,Alabama Southern Community College,2800 South Alabama Avenue,Monroeville,AL,36460,1,5,John A Johnson,President,2.51575E+13,630503016,103400,1,www.ascc.edu, , , ,4,2,1,3,1,2,2,40,1,2,2,2,2,41,1,A ,-2,-2,-2,1,1,1,1,1, ,4,1,1,-1,3,1,2,40,1,2,2,-2,-2,-2,-2,72
101958,Prince Institute of Professional Studies Inc,7735 Atlanta Hwy,Montgomery,AL,36117,1,5,Patricia L. Hill,Director,3342711670,630710076,2296000,1,princeinstitute.edu, , , ,6,2,3,3,1,2,2,40,1,2,-2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1, ,4,10,1,-1,2,1,1,40,2,2,1,33860,1,388,-2,122
101994,Reid State Technical College,I65 and Hwy 83,Evergreen,AL,36401,1,5,Dr Douglas M Littles,President,2515781313,630510731,569200,1,www.rstc.cc.al.us, , , ,4,2,1,3,1,2,2,40,1,2,2,2,2,43,1,A ,-2,-2,-2,1,1,1,1,1, ,4,1,1,-1,3,1,1,40,1,2,1,-2,-2,-2,-2,75
102030,Bishop State Community College,351 North Broad Street,Mobile,AL,36603-5898,1,5,James Lowe,Interim President,2514057000,630507477,103000,1,www.bishop.edu, , , ,4,2,1,3,1,2,2,40,1,1,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1, ,4,7,1,-1,2,1,3,40,1,2,2,33660,1,380,-2,104
102049,Samford University,800 Lakeshore Drive,Birmingham,AL,35229-2240,1,5,Andrew Westmoreland,President,2057262011,630312914,103600,1,www.samford.edu,www.samford.edu/admission/,www.samford.edu/admin/finaid/,www.samford.edu/admission/application.html,2,1,2,9,1,1,1,11,1,2,2,2,2,21,1,A ,-2,-2,-2,1,1,1,1,1, ,2,17,10,18,12,5,14,21,1,2,2,13820,1,142,-2,141
102067,Shelton State Community College,9500 Old Greensboro Rd,Tuscaloosa,AL,35405-8522,1,5,Dr. Mark A. Heinrich,President,2053912347,636002149,569100,1,www.sheltonstate.edu,www.sheltonstate.edu/content.aspx?PageID=75,www.sheltonstate.edu/content.aspx?PageID=99,ais.sheltonstate.edu/HESTUPORTAL/apecs_hestuportal_application_link.aspx?instid=SS00,4,2,1,3,1,2,2,40,1,1,2,2,2,41,1,A ,-2,-2,-2,1,1,1,1,1, ,4,3,1,-1,3,1,3,40,1,2,3,46220,1,-2,-2,89
102076,Snead State Community College,220 North Walnut Street,Boaz,AL,35957-0734,1,5,Lavell Thrasher,Interim President,2565935120,630521412,103800,1,www.snead.edu, , , ,4,2,1,3,1,2,2,40,1,2,2,2,2,31,1,A ,-2,-2,-2,1,1,1,1,1, ,4,1,1,-1,3,1,2,40,1,2,2,10700,2,-2,-2,72
102094,University of South Alabama,307 N University Blvd,Mobile,AL,36688-0002,1,5,V Gordon Moulton,President,2514606101,630477348,105700,1,www.southalabama.edu,www.southalabama.edu/admissions/,www.southalabama.edu/finaid/,www.southalabama.edu/admissions/appdeadline.html,1,1,1,9,1,1,1,11,1,2,1,1,2,12,1,A ,-2,-2,-2,1,1,1,1,1, ,2,18,13,18,8,4,15,16,1,2,4,33660,1,380,-2,144
102216,Southern Community College,205 S Main St,Tuskegee,AL,36083-0688,1,5,Lawrence F Haygood Jr,President,3347275220,630589323,1123700,5,www.SOUTHERNCOMMUNITYCOLLEGE.ORG, , , ,5,2,2,4,1,2,2,0,2,2,-1,-1,2,32,1,A ,-2,-2,-2,1,1,1,2,1, ,6,-3,-3,-3,-3,-3,-3,-3,-1,2,-1,46260,2,194,-2,-2
102234,Spring Hill College,4000 Dauphin St,Mobile,AL,36608-1791,1,5,"Gregory F. Lucey, S.J.",President,2513804000,630302179,104100,1,www.shc.edu,www.shc.edu/admissions-and-financial-aid/,www.shc.edu/admissions-and-financial-aid/,www.shc.edu/admissions-and-financial-aid/apply,2,1,2,7,1,1,2,20,1,2,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1,Springhill|Springhill College|SHC|the Hill,2,20,10,8,10,3,11,21,1,2,2,33660,1,380,-2,162
102261,Southeastern Bible College,2545 Valleydale Road,Birmingham,AL,35244-2083,1,5,Dr. Don Hawkins,President,2059709200,630338081,2270400,1,www.sebc.edu, , , ,2,1,2,5,1,2,2,30,1,2,2,2,2,21,1,A ,-2,-2,-2,1,1,1,1,1, ,2,24,-2,-2,-2,2,-2,51,2,2,1,13820,1,142,-2,188
102270,Stillman College,3601 Stillman Boulevard,Tuscaloosa,AL,35403,1,5,"Ernest McNealey, Ph.D.",President,2053494240,630315935,104400,1,www.stillman.edu, , , ,2,1,2,5,1,2,2,30,1,1,2,2,2,13,1,A ,-2,-2,-2,1,1,1,1,1, ,2,22,12,-1,9,2,11,32,1,2,1,46220,1,-2,-2,181
102298,Talladega College,627 W Battle St,Talladega,AL,35160,1,5,Dr. Oscar L. Prater,President,2563620206,630288870,104600,1,www.talladega.edu, , , ,2,1,2,5,1,2,2,30,1,1,2,2,2,32,1,A ,-2,-2,-2,1,1,1,1,1, ,2,21,6,-1,9,2,8,31,1,2,1,45180,2,-2,-2,173
102313,H Councill Trenholm State Technical College,1225 Air Base Blvd,Montgomery,AL,36108-3199,1,5,Mr. Samuel Munnerlyn,Interim President,3344204200,630510750,573400,1,www.trenholmtech.cc.al.us,www.trenholmtech.cc.al.us,www.trenholmtech.cc.al.us,www.trenholmtech.cc.al.us,4,2,1,3,1,2,2,40,1,1,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1,Trenholm Tech,4,1,1,-1,2,1,2,40,1,2,2,33860,1,388,-2,72
102368,Troy University,University Avenue,Troy,AL,36082-0001,1,5,"Dr. Jack Hawkins, Jr.",Chancellor,3346703100,636001102,104700,1,www.troy.edu,www.troy.edu/admissions,www.troy.edu/financialaid/,www.troy.edu/application,1,1,1,8,1,1,2,20,1,2,2,2,2,32,1,A ,-2,-2,-2,1,1,1,1,1,TROY,2,18,13,7,6,5,16,21,1,2,5,45980,2,-2,-2,143
102377,Tuskegee University,"Kresge Center, 3rd Floor",Tuskegee,AL,36088-1920,1,5,Benjamin F Payton,President,3347278011,-1,105000,1,www.tuskegee.edu, , , ,2,1,2,9,1,1,1,11,1,1,2,1,2,32,1,A ,-2,-2,-2,1,1,1,1,1, ,2,22,13,8,9,4,11,21,1,1,2,46260,2,194,-2,176
102395,United States Sports Academy,One Academy Dr,Daphne,AL,36526-7055,1,5,Dr. Thomas P. Rosandich,President/CEO,2516263303,630771624,2170600,1,www.ussa.edu, , , ,2,1,2,9,1,1,2,10,1,2,2,2,2,31,1,A ,-2,-2,-2,1,1,1,1,1, ,2,32,-2,-2,-2,6,-2,59,2,2,1,19300,2,380,-2,212
102429,Bevill State Community College,101 State St,Sumiton,AL,35148,1,5,Neal Morrison,President,2.05648E+13,631102108,573300,1,www.bscc.edu, , , ,4,2,1,3,1,2,2,40,1,2,2,2,2,31,1,A ,-2,-2,-2,1,1,1,1,1, ,4,2,1,-1,2,1,3,40,1,2,2,13820,1,142,-2,80
102553,University of Alaska Anchorage,3211 Providence Drive,Anchorage,AK,99508-8046,2,8,Fran Ulmer,Interim Chancellor,9077861800,926000147,1146200,1,www.uaa.alaska.edu,www.uaa.alaska.edu/admissions/,www.uaa.alaska.edu/financialaid/,uaonline.alaska.edu/,1,1,1,8,1,1,2,20,1,2,2,2,2,11,1,A ,-2,-2,-2,1,1,1,1,1, ,2,18,10,4,8,3,15,21,1,2,4,11260,1,-2,-2,144
102614,University of Alaska Fairbanks,Signers' Hall,Fairbanks,AK,99775-7480,2,8,Stephen B. Jones,Chancellor,9074747211,926000147,106300,1,www.uaf.edu,www.uaf.edu/admissions/index.html,www.uaf.edu/finaid/index.html,uaonline.alaska.edu/,1,1,1,9,1,1,2,10,1,2,2,2,2,23,1,A ,-2,-2,-2,1,1,1,1,1, ,2,16,7,17,8,4,13,16,1,1,3,21820,1,-2,-2,138
102632,University of Alaska Southeast,11120 Glacier Highway,Juneau,AK,99801-8697,2,8,John Pugh,Chancellor,8774654827,926000147,106500,1,www.uas.alaska.edu,www.uas.alaska.edu/admissions/admissions/index.html,www.uas.alaska.edu/financial_aid/index.html,uaonline.alaska.edu/,1,1,1,7,1,1,2,20,1,2,2,2,2,33,1,A ,-2,-2,-2,1,1,1,1,1, ,2,20,6,9,5,4,10,21,1,2,2,27940,2,-2,-2,160
102669,Alaska Pacific University,4101 University Dr,Anchorage,AK,99508,2,8,Douglas M North,President,9075611266,920023588,106100,1,www.alaskapacific.edu, , , ,2,1,2,7,1,1,2,20,1,2,2,2,2,11,1,A ,-2,-2,-2,1,1,1,1,1, ,2,20,13,7,7,5,6,21,2,2,1,11260,1,-2,-2,163
